layer	projection	null	actual_red	null_red	delta_pp
4	Q	proj_hist	0.4627	0.4674	-0.47
4	Q	tile_hist	0.4627	0.4661	-0.34
4	Q	cross_out	0.4627	0.4622	0.05
4	K	uniform	0.4606	0.3976	6.30
4	K	proj_hist	0.4606	0.4683	-0.77
4	K	tile_hist	0.4606	0.4644	-0.38
4	K	cross_out	0.4606	0.4623	-0.17
4	V	uniform	0.4543	0.3970	5.73
4	V	proj_hist	0.4543	0.4658	-1.15
4	V	tile_hist	0.4543	0.4612	-0.70
4	V	cross_out	0.4543	0.4549	-0.06
4	O	uniform	0.4492	0.3984	5.08
4	O	proj_hist	0.4492	0.4592	-1.01
4	O	tile_hist	0.4492	0.4525	-0.33
4	O	cross_out	0.4492	0.4503	-0.12
4	Gate	uniform	0.4577	0.3976	6.01
4	Gate	proj_hist	0.4577	0.4627	-0.50
4	Gate	tile_hist	0.4577	0.4614	-0.37
4	Gate	cross_out	0.4577	0.4587	-0.10
4	Up	uniform	0.4643	0.3986	6.57
4	Up	proj_hist	0.4643	0.4619	0.24
4	Up	tile_hist	0.4643	0.4672	-0.29
4	Up	cross_out	0.4643	0.4658	-0.15
4	Down	uniform	0.4626	0.3975	6.51
4	Down	proj_hist	0.4626	0.4615	0.10
4	Down	tile_hist	0.4626	0.4642	-0.16
4	Down	cross_out	0.4626	0.4617	0.09
5	Q	uniform	0.4556	0.3956	6.00
5	Q	proj_hist	0.4556	0.4665	-1.09
5	Q	tile_hist	0.4556	0.4609	-0.52
5	Q	cross_out	0.4556	0.4556	0.01
5	K	uniform	0.4623	0.3978	6.45
5	K	proj_hist	0.4623	0.4675	-0.51
5	K	tile_hist	0.4623	0.4644	-0.21
5	K	cross_out	0.4623	0.4621	0.02
5	V	uniform	0.4663	0.3994	6.70
5	V	proj_hist	0.4663	0.4655	0.08
5	V	tile_hist	0.4663	0.4659	0.04
5	V	cross_out	0.4663	0.4640	0.23
5	O	uniform	0.4488	0.3989	4.99
5	O	proj_hist	0.4488	0.4604	-1.16
5	O	tile_hist	0.4488	0.4528	-0.40
5	O	cross_out	0.4488	0.4500	-0.12
5	Gate	uniform	0.4578	0.3968	6.10
5	Gate	proj_hist	0.4578	0.4615	-0.38
5	Gate	tile_hist	0.4578	0.4616	-0.38
5	Gate	cross_out	0.4578	0.4594	-0.16
5	Up	uniform	0.4594	0.3967	6.27
5	Up	proj_hist	0.4594	0.4610	-0.16
5	Up	tile_hist	0.4594	0.4618	-0.24
5	Up	cross_out	0.4594	0.4601	-0.07
5	Down	uniform	0.4588	0.3973	6.15
5	Down	proj_hist	0.4588	0.4615	-0.27
5	Down	tile_hist	0.4588	0.4607	-0.19
5	Down	cross_out	0.4588	0.4588	0.00
6	Q	uniform	0.4580	0.3995	5.85
6	Q	proj_hist	0.4580	0.4634	-0.54
6	Q	tile_hist	0.4580	0.4604	-0.24
6	Q	cross_out	0.4580	0.4580	0.00
6	K	uniform	0.4631	0.3969	6.63
6	K	proj_hist	0.4631	0.4637	-0.05
6	K	tile_hist	0.4631	0.4639	-0.07
6	K	cross_out	0.4631	0.4640	-0.09
6	V	uniform	0.4595	0.3984	6.12
6	V	proj_hist	0.4595	0.4642	-0.46
6	V	tile_hist	0.4595	0.4653	-0.58
6	V	cross_out	0.4595	0.4629	-0.34
6	O	uniform	0.4501	0.3987	5.13
6	O	proj_hist	0.4501	0.4591	-0.90
6	O	tile_hist	0.4501	0.4550	-0.49
6	O	cross_out	0.4501	0.4517	-0.16
6	Gate	uniform	0.4532	0.3975	5.57
6	Gate	proj_hist	0.4532	0.4602	-0.70
6	Gate	tile_hist	0.4532	0.4587	-0.55
6	Gate	cross_out	0.4532	0.4561	-0.29
6	Up	uniform	0.4559	0.3999	5.60
6	Up	proj_hist	0.4559	0.4611	-0.51
6	Up	tile_hist	0.4559	0.4626	-0.67
6	Up	cross_out	0.4559	0.4591	-0.32
6	Down	uniform	0.4561	0.3987	5.74
6	Down	proj_hist	0.4561	0.4605	-0.44
6	Down	tile_hist	0.4561	0.4587	-0.26
6	Down	cross_out	0.4561	0.4570	-0.09
7	Q	uniform	0.4645	0.3985	6.60
7	Q	proj_hist	0.4645	0.4622	0.23
7	Q	tile_hist	0.4645	0.4645	0.00
7	Q	cross_out	0.4645	0.4619	0.26
7	K	uniform	0.4568	0.3978	5.90
7	K	proj_hist	0.4568	0.4604	-0.36
7	K	tile_hist	0.4568	0.4608	-0.39
7	K	cross_out	0.4568	0.4581	-0.13
7	V	uniform	0.4603	0.3983	6.20
7	V	proj_hist	0.4603	0.4631	-0.28
7	V	tile_hist	0.4603	0.4652	-0.49
7	V	cross_out	0.4603	0.4636	-0.34
7	O	uniform	0.4567	0.3969	5.98
7	O	proj_hist	0.4567	0.4566	0.01
7	O	tile_hist	0.4567	0.4583	-0.16
7	O	cross_out	0.4567	0.4567	0.00
7	Gate	uniform	0.4601	0.3975	6.26
7	Gate	proj_hist	0.4601	0.4622	-0.21
7	Gate	tile_hist	0.4601	0.4641	-0.40
7	Gate	cross_out	0.4601	0.4603	-0.02
7	Up	uniform	0.4593	0.3963	6.30
7	Up	proj_hist	0.4593	0.4634	-0.42
7	Up	tile_hist	0.4593	0.4647	-0.54
7	Up	cross_out	0.4593	0.4623	-0.30
7	Down	uniform	0.4543	0.3970	5.73
7	Down	proj_hist	0.4543	0.4614	-0.71
7	Down	tile_hist	0.4543	0.4606	-0.63
7	Down	cross_out	0.4543	0.4580	-0.37
8	Q	uniform	0.4614	0.3976	6.38
8	Q	proj_hist	0.4614	0.4619	-0.05
8	Q	tile_hist	0.4614	0.4628	-0.14
8	Q	cross_out	0.4614	0.4612	0.02
8	K	uniform	0.4647	0.3982	6.65
8	K	proj_hist	0.4647	0.4647	0.00
8	K	tile_hist	0.4647	0.4668	-0.21
8	K	cross_out	0.4647	0.4659	-0.13
8	V	uniform	0.4639	0.3979	6.60
8	V	proj_hist	0.4639	0.4667	-0.28
8	V	tile_hist	0.4639	0.4678	-0.39
8	V	cross_out	0.4639	0.4653	-0.13
8	O	uniform	0.4567	0.3986	5.82
8	O	proj_hist	0.4567	0.4591	-0.24
8	O	tile_hist	0.4567	0.4594	-0.27
8	O	cross_out	0.4567	0.4575	-0.07
8	Gate	uniform	0.4530	0.3982	5.48
8	Gate	proj_hist	0.4530	0.4603	-0.73
8	Gate	tile_hist	0.4530	0.4596	-0.66
8	Gate	cross_out	0.4530	0.4553	-0.23
8	Up	uniform	0.4631	0.3971	6.60
8	Up	proj_hist	0.4631	0.4630	0.01
8	Up	tile_hist	0.4631	0.4685	-0.54
8	Up	cross_out	0.4631	0.4662	-0.31
8	Down	uniform	0.4519	0.3969	5.50
8	Down	proj_hist	0.4519	0.4609	-0.90
8	Down	tile_hist	0.4519	0.4598	-0.79
8	Down	cross_out	0.4519	0.4553	-0.34
9	Q	uniform	0.4648	0.3977	6.71
9	Q	proj_hist	0.4648	0.4631	0.17
9	Q	tile_hist	0.4648	0.4665	-0.16
9	Q	cross_out	0.4648	0.4623	0.26
9	K	uniform	0.4575	0.3981	5.93
9	K	proj_hist	0.4575	0.4600	-0.25
9	K	tile_hist	0.4575	0.4626	-0.51
9	K	cross_out	0.4575	0.4579	-0.04
9	V	uniform	0.4630	0.3977	6.53
9	V	proj_hist	0.4630	0.4658	-0.28
9	V	tile_hist	0.4630	0.4629	0.01
9	V	cross_out	0.4630	0.4595	0.35
9	O	uniform	0.4533	0.3985	5.48
9	O	proj_hist	0.4533	0.4580	-0.47
9	O	tile_hist	0.4533	0.4547	-0.14
9	O	cross_out	0.4533	0.4536	-0.02
9	Gate	uniform	0.4565	0.3964	6.01
9	Gate	proj_hist	0.4565	0.4612	-0.47
9	Gate	tile_hist	0.4565	0.4612	-0.47
9	Gate	cross_out	0.4565	0.4584	-0.19
9	Up	uniform	0.4573	0.3979	5.94
9	Up	proj_hist	0.4573	0.4628	-0.55
9	Up	tile_hist	0.4573	0.4586	-0.12
9	Up	cross_out	0.4573	0.4568	0.05
9	Down	uniform	0.4597	0.3983	6.13
9	Down	proj_hist	0.4597	0.4615	-0.19
9	Down	tile_hist	0.4597	0.4614	-0.17
9	Down	cross_out	0.4597	0.4592	0.05
10	Q	uniform	0.4584	0.3986	5.98
10	Q	proj_hist	0.4584	0.4634	-0.50
10	Q	tile_hist	0.4584	0.4606	-0.23
