projection	tiles	base_ops	actual_ops	reduction
Down	14680064	3758096384	1699519911	0.5478
Gate	14680064	3758096384	1680422670	0.5529
K	1048576	268435456	120415710	0.5514
O	4194304	1073741824	481310496	0.5517
Q	4194304	1073741824	481617314	0.5515
Up	14680064	3758096384	1681209133	0.5526
V	1048576	268435456	120404822	0.5515
