layer	projection	null	actual_red	null_red	delta_pp
3	Up	sampled_proj_hist	0.4534	0.4617	-0.83
3	Up	tile_hist	0.4534	0.4584	-0.51
3	Up	cross_out	0.4534	0.4563	-0.29
4	Q	uniform	0.4627	0.3983	6.45
4	Q	sampled_proj_hist	0.4627	0.4651	-0.24
4	Q	tile_hist	0.4627	0.4658	-0.31
4	Q	cross_out	0.4627	0.4622	0.05
4	K	uniform	0.4606	0.3984	6.22
4	K	sampled_proj_hist	0.4606	0.4675	-0.69
4	K	tile_hist	0.4606	0.4636	-0.30
4	K	cross_out	0.4606	0.4616	-0.10
4	V	uniform	0.4543	0.3974	5.69
4	V	sampled_proj_hist	0.4543	0.4653	-1.10
4	V	tile_hist	0.4543	0.4601	-0.59
4	V	cross_out	0.4543	0.4561	-0.18
4	O	uniform	0.4492	0.3978	5.13
4	O	sampled_proj_hist	0.4492	0.4583	-0.91
4	O	tile_hist	0.4492	0.4526	-0.34
4	O	cross_out	0.4492	0.4495	-0.04
4	Gate	uniform	0.4577	0.3976	6.01
4	Gate	sampled_proj_hist	0.4577	0.4606	-0.29
4	Gate	tile_hist	0.4577	0.4622	-0.45
4	Gate	cross_out	0.4577	0.4595	-0.18
4	Down	uniform	0.4594	0.3983	6.11
4	Down	sampled_proj_hist	0.4594	0.4616	-0.22
4	Down	tile_hist	0.4594	0.4626	-0.32
4	Down	cross_out	0.4594	0.4611	-0.17
4	Up	uniform	0.4626	0.3978	6.48
4	Up	sampled_proj_hist	0.4626	0.4619	0.07
4	Up	tile_hist	0.4626	0.4648	-0.23
4	Up	cross_out	0.4626	0.4626	-0.01
5	Q	uniform	0.4556	0.3959	5.98
5	Q	sampled_proj_hist	0.4556	0.4668	-1.12
5	Q	tile_hist	0.4556	0.4602	-0.46
5	Q	cross_out	0.4556	0.4551	0.05
5	K	uniform	0.4623	0.3981	6.42
5	K	sampled_proj_hist	0.4623	0.4666	-0.42
5	K	tile_hist	0.4623	0.4656	-0.33
5	K	cross_out	0.4623	0.4631	-0.07
5	V	uniform	0.4663	0.3989	6.74
5	V	sampled_proj_hist	0.4663	0.4659	0.04
5	V	tile_hist	0.4663	0.4664	-0.01
5	V	cross_out	0.4663	0.4633	0.31
5	O	uniform	0.4488	0.3990	4.98
5	O	sampled_proj_hist	0.4488	0.4607	-1.19
5	O	tile_hist	0.4488	0.4529	-0.41
5	O	cross_out	0.4488	0.4497	-0.09
5	Gate	uniform	0.4578	0.3977	6.01
5	Gate	sampled_proj_hist	0.4578	0.4615	-0.38
5	Gate	tile_hist	0.4578	0.4616	-0.38
5	Gate	cross_out	0.4578	0.4594	-0.16
5	Down	uniform	0.4590	0.3965	6.25
5	Down	sampled_proj_hist	0.4590	0.4601	-0.12
5	Down	tile_hist	0.4590	0.4624	-0.34
5	Down	cross_out	0.4590	0.4626	-0.36
5	Up	uniform	0.4572	0.3975	5.98
5	Up	sampled_proj_hist	0.4572	0.4617	-0.45
5	Up	tile_hist	0.4572	0.4603	-0.31
5	Up	cross_out	0.4572	0.4571	0.01
6	Q	uniform	0.4580	0.3993	5.87
6	Q	sampled_proj_hist	0.4580	0.4638	-0.58
6	Q	tile_hist	0.4580	0.4601	-0.21
6	Q	cross_out	0.4580	0.4578	0.02
6	K	uniform	0.4631	0.3979	6.52
6	K	sampled_proj_hist	0.4631	0.4628	0.03
6	K	tile_hist	0.4631	0.4643	-0.12
6	K	cross_out	0.4631	0.4640	-0.09
6	V	uniform	0.4595	0.3983	6.13
6	V	sampled_proj_hist	0.4595	0.4645	-0.49
6	V	tile_hist	0.4595	0.4653	-0.57
6	V	cross_out	0.4595	0.4617	-0.21
6	O	uniform	0.4501	0.3984	5.17
6	O	sampled_proj_hist	0.4501	0.4581	-0.81
6	O	tile_hist	0.4501	0.4557	-0.56
6	O	cross_out	0.4501	0.4521	-0.21
6	Gate	uniform	0.4532	0.3979	5.54
6	Gate	sampled_proj_hist	0.4532	0.4589	-0.57
6	Gate	tile_hist	0.4532	0.4577	-0.45
6	Gate	cross_out	0.4532	0.4561	-0.28
6	Down	uniform	0.4552	0.3993	5.59
6	Down	sampled_proj_hist	0.4552	0.4620	-0.68
6	Down	tile_hist	0.4552	0.4593	-0.41
6	Down	cross_out	0.4552	0.4566	-0.14
6	Up	uniform	0.4603	0.3989	6.14
6	Up	sampled_proj_hist	0.4603	0.4614	-0.10
6	Up	tile_hist	0.4603	0.4625	-0.21
6	Up	cross_out	0.4603	0.4594	0.09
7	Q	uniform	0.4645	0.3982	6.63
7	Q	sampled_proj_hist	0.4645	0.4622	0.23
7	Q	tile_hist	0.4645	0.4643	0.02
7	Q	cross_out	0.4645	0.4625	0.20
7	K	uniform	0.4568	0.3978	5.91
7	K	sampled_proj_hist	0.4568	0.4599	-0.31
7	K	tile_hist	0.4568	0.4601	-0.32
7	K	cross_out	0.4568	0.4583	-0.14
7	V	uniform	0.4603	0.3978	6.25
7	V	sampled_proj_hist	0.4603	0.4644	-0.41
7	V	tile_hist	0.4603	0.4647	-0.44
7	V	cross_out	0.4603	0.4638	-0.35
7	O	uniform	0.4567	0.3967	5.99
7	O	sampled_proj_hist	0.4567	0.4575	-0.08
7	O	tile_hist	0.4567	0.4597	-0.31
7	O	cross_out	0.4567	0.4560	0.07
7	Gate	uniform	0.4601	0.3975	6.26
7	Gate	sampled_proj_hist	0.4601	0.4618	-0.17
7	Gate	tile_hist	0.4601	0.4630	-0.29
7	Gate	cross_out	0.4601	0.4606	-0.05
7	Down	uniform	0.4618	0.3961	6.57
7	Down	sampled_proj_hist	0.4618	0.4633	-0.15
7	Down	tile_hist	0.4618	0.4666	-0.48
7	Down	cross_out	0.4618	0.4647	-0.29
7	Up	uniform	0.4537	0.3972	5.65
7	Up	sampled_proj_hist	0.4537	0.4617	-0.79
7	Up	tile_hist	0.4537	0.4578	-0.40
7	Up	cross_out	0.4537	0.4545	-0.08
8	Q	uniform	0.4614	0.3975	6.40
8	Q	sampled_proj_hist	0.4614	0.4631	-0.16
8	Q	tile_hist	0.4614	0.4620	-0.05
8	Q	cross_out	0.4614	0.4607	0.07
8	K	uniform	0.4647	0.3976	6.70
8	K	sampled_proj_hist	0.4647	0.4633	0.13
8	K	tile_hist	0.4647	0.4670	-0.24
8	K	cross_out	0.4647	0.4656	-0.09
8	V	uniform	0.4639	0.3987	6.52
8	V	sampled_proj_hist	0.4639	0.4666	-0.27
8	V	tile_hist	0.4639	0.4673	-0.34
8	V	cross_out	0.4639	0.4649	-0.10
8	O	uniform	0.4567	0.3979	5.88
8	O	sampled_proj_hist	0.4567	0.4603	-0.35
8	O	tile_hist	0.4567	0.4598	-0.31
8	O	cross_out	0.4567	0.4578	-0.11
8	Gate	uniform	0.4530	0.3982	5.48
8	Gate	sampled_proj_hist	0.4530	0.4616	-0.86
8	Gate	tile_hist	0.4530	0.4598	-0.68
8	Gate	cross_out	0.4530	0.4549	-0.19
8	Down	uniform	0.4636	0.3973	6.63
8	Down	sampled_proj_hist	0.4636	0.4628	0.08
8	Down	tile_hist	0.4636	0.4681	-0.45
8	Down	cross_out	0.4636	0.4641	-0.05
8	Up	uniform	0.4586	0.3975	6.12
8	Up	sampled_proj_hist	0.4586	0.4603	-0.17
8	Up	tile_hist	0.4586	0.4600	-0.13
8	Up	cross_out	0.4586	0.4581	0.05
9	Q	uniform	0.4648	0.3977	6.71
9	Q	sampled_proj_hist	0.4648	0.4623	0.25
9	Q	tile_hist	0.4648	0.4663	-0.15
9	Q	cross_out	0.4648	0.4615	0.33
9	K	uniform	0.4575	0.3983	5.92
9	K	sampled_proj_hist	0.4575	0.4601	-0.27
9	K	tile_hist	0.4575	0.4614	-0.39
9	K	cross_out	0.4575	0.4595	-0.20
9	V	uniform	0.4630	0.3978	6.52
9	V	sampled_proj_hist	0.4630	0.4665	-0.35
9	V	tile_hist	0.4630	0.4642	-0.12
9	V	cross_out	0.4630	0.4604	0.26
9	O	uniform	0.4533	0.3979	5.54
9	O	sampled_proj_hist	0.4533	0.4587	-0.54
9	O	tile_hist	0.4533	0.4556	-0.23
9	O	cross_out	0.4533	0.4532	0.01
9	Gate	uniform	0.4565	0.3972	5.94
9	Gate	sampled_proj_hist	0.4565	0.4623	-0.58
9	Gate	tile_hist	0.4565	0.4596	-0.31
9	Gate	cross_out	0.4565	0.4575	-0.10
9	Down	uniform	0.4556	0.3980	5.76
9	Down	sampled_proj_hist	0.4556	0.4619	-0.63
9	Down	tile_hist	0.4556	0.4573	-0.18
9	Down	cross_out	0.4556	0.4578	-0.23
