layer	projection	null	actual_red	null_red	delta_pp
4	Q	cross_out	0.6508	0.5571	9.37
4	K	uniform	0.6448	0.3970	24.79
4	K	proj_hist	0.6448	0.5583	8.65
4	K	tile_hist	0.6448	0.5544	9.05
4	K	cross_out	0.6448	0.5530	9.19
4	V	uniform	0.6470	0.3973	24.96
4	V	proj_hist	0.6470	0.5386	10.84
4	V	tile_hist	0.6470	0.5535	9.35
4	V	cross_out	0.6470	0.5535	9.34
4	O	uniform	0.6498	0.3975	25.23
4	O	proj_hist	0.6498	0.5646	8.51
4	O	tile_hist	0.6498	0.5560	9.38
4	O	cross_out	0.6498	0.5547	9.51
4	Gate	uniform	0.6487	0.3975	25.12
4	Gate	proj_hist	0.6487	0.5619	8.68
4	Gate	tile_hist	0.6487	0.5552	9.34
4	Gate	cross_out	0.6487	0.5541	9.46
4	Up	uniform	0.6479	0.3978	25.01
4	Up	proj_hist	0.6479	0.5549	9.30
4	Up	tile_hist	0.6479	0.5551	9.28
4	Up	cross_out	0.6479	0.5555	9.24
4	Down	uniform	0.6492	0.3961	25.31
4	Down	proj_hist	0.6492	0.5591	9.01
4	Down	tile_hist	0.6492	0.5551	9.41
4	Down	cross_out	0.6492	0.5549	9.43
5	Q	uniform	0.6462	0.3991	24.71
5	Q	proj_hist	0.6462	0.5542	9.20
5	Q	tile_hist	0.6462	0.5543	9.20
5	Q	cross_out	0.6462	0.5532	9.31
5	K	uniform	0.6464	0.3974	24.90
5	K	proj_hist	0.6464	0.5734	7.31
5	K	tile_hist	0.6464	0.5559	9.05
5	K	cross_out	0.6464	0.5536	9.28
5	V	uniform	0.6478	0.3979	24.99
5	V	proj_hist	0.6478	0.5608	8.70
5	V	tile_hist	0.6478	0.5547	9.30
5	V	cross_out	0.6478	0.5529	9.49
5	O	uniform	0.6461	0.3979	24.82
5	O	proj_hist	0.6461	0.5595	8.66
5	O	tile_hist	0.6461	0.5528	9.33
5	O	cross_out	0.6461	0.5517	9.44
5	Gate	uniform	0.6503	0.3976	25.27
5	Gate	proj_hist	0.6503	0.5574	9.29
5	Gate	tile_hist	0.6503	0.5562	9.41
5	Gate	cross_out	0.6503	0.5570	9.33
5	Up	uniform	0.6462	0.3973	24.89
5	Up	proj_hist	0.6462	0.5588	8.74
5	Up	tile_hist	0.6462	0.5547	9.14
5	Up	cross_out	0.6462	0.5531	9.31
5	Down	uniform	0.6465	0.3969	24.96
5	Down	proj_hist	0.6465	0.5530	9.36
5	Down	tile_hist	0.6465	0.5517	9.48
5	Down	cross_out	0.6465	0.5518	9.47
6	Q	uniform	0.6483	0.3981	25.02
6	Q	proj_hist	0.6483	0.5512	9.71
6	Q	tile_hist	0.6483	0.5562	9.21
6	Q	cross_out	0.6483	0.5551	9.33
6	K	uniform	0.6450	0.3963	24.87
6	K	proj_hist	0.6450	0.5489	9.61
6	K	tile_hist	0.6450	0.5527	9.23
6	K	cross_out	0.6450	0.5511	9.39
6	V	uniform	0.6459	0.3988	24.71
6	V	proj_hist	0.6459	0.5542	9.17
6	V	tile_hist	0.6459	0.5540	9.20
6	V	cross_out	0.6459	0.5521	9.39
6	O	uniform	0.6481	0.3983	24.98
6	O	proj_hist	0.6481	0.5618	8.62
6	O	tile_hist	0.6481	0.5540	9.41
6	O	cross_out	0.6481	0.5539	9.42
6	Gate	uniform	0.6445	0.3969	24.77
6	Gate	proj_hist	0.6445	0.5529	9.16
6	Gate	tile_hist	0.6445	0.5515	9.30
6	Gate	cross_out	0.6445	0.5499	9.47
6	Up	uniform	0.6478	0.3974	25.04
6	Up	proj_hist	0.6478	0.5503	9.75
6	Up	tile_hist	0.6478	0.5555	9.23
6	Up	cross_out	0.6478	0.5549	9.28
6	Down	uniform	0.6445	0.3978	24.67
6	Down	proj_hist	0.6445	0.5594	8.51
6	Down	tile_hist	0.6445	0.5538	9.08
6	Down	cross_out	0.6445	0.5521	9.24
7	Q	uniform	0.6470	0.3983	24.87
7	Q	proj_hist	0.6470	0.5600	8.70
7	Q	tile_hist	0.6470	0.5535	9.35
7	Q	cross_out	0.6470	0.5523	9.47
7	K	uniform	0.6495	0.3990	25.05
7	K	proj_hist	0.6495	0.5648	8.47
7	K	tile_hist	0.6495	0.5572	9.23
7	K	cross_out	0.6495	0.5546	9.48
7	V	uniform	0.6509	0.3993	25.16
7	V	proj_hist	0.6509	0.5532	9.77
7	V	tile_hist	0.6509	0.5569	9.40
7	V	cross_out	0.6509	0.5570	9.39
7	O	uniform	0.6503	0.3971	25.32
7	O	proj_hist	0.6503	0.5607	8.97
7	O	tile_hist	0.6503	0.5562	9.41
7	O	cross_out	0.6503	0.5559	9.44
7	Gate	uniform	0.6506	0.3971	25.35
7	Gate	proj_hist	0.6506	0.5565	9.41
7	Gate	tile_hist	0.6506	0.5594	9.11
7	Gate	cross_out	0.6506	0.5576	9.30
7	Up	uniform	0.6473	0.3987	24.86
7	Up	proj_hist	0.6473	0.5583	8.89
7	Up	tile_hist	0.6473	0.5579	8.94
7	Up	cross_out	0.6473	0.5571	9.01
7	Down	uniform	0.6470	0.3975	24.95
7	Down	proj_hist	0.6470	0.5661	8.09
7	Down	tile_hist	0.6470	0.5555	9.14
7	Down	cross_out	0.6470	0.5554	9.16
8	Q	uniform	0.6503	0.3977	25.26
8	Q	proj_hist	0.6503	0.5604	8.99
8	Q	tile_hist	0.6503	0.5551	9.53
8	Q	cross_out	0.6503	0.5551	9.53
8	K	uniform	0.6480	0.3975	25.05
8	K	proj_hist	0.6480	0.5613	8.67
8	K	tile_hist	0.6480	0.5543	9.38
8	K	cross_out	0.6480	0.5542	9.38
8	V	uniform	0.6477	0.3979	24.98
8	V	proj_hist	0.6477	0.5610	8.67
8	V	tile_hist	0.6477	0.5533	9.44
8	V	cross_out	0.6477	0.5530	9.47
8	O	uniform	0.6501	0.3974	25.27
8	O	proj_hist	0.6501	0.5620	8.82
8	O	tile_hist	0.6501	0.5565	9.36
8	O	cross_out	0.6501	0.5571	9.30
8	Gate	uniform	0.6487	0.3978	25.09
8	Gate	proj_hist	0.6487	0.5563	9.23
8	Gate	tile_hist	0.6487	0.5551	9.36
8	Gate	cross_out	0.6487	0.5529	9.58
8	Up	uniform	0.6478	0.3976	25.02
8	Up	proj_hist	0.6478	0.5591	8.87
8	Up	tile_hist	0.6478	0.5554	9.25
8	Up	cross_out	0.6478	0.5528	9.50
8	Down	uniform	0.6466	0.3982	24.84
8	Down	proj_hist	0.6466	0.5601	8.65
8	Down	tile_hist	0.6466	0.5531	9.35
8	Down	cross_out	0.6466	0.5520	9.46
9	Q	uniform	0.6437	0.3982	24.55
9	Q	proj_hist	0.6437	0.5541	8.96
9	Q	tile_hist	0.6437	0.5543	8.94
9	Q	cross_out	0.6437	0.5515	9.22
9	K	uniform	0.6505	0.3979	25.26
9	K	proj_hist	0.6505	0.5565	9.40
9	K	tile_hist	0.6505	0.5557	9.48
9	K	cross_out	0.6505	0.5555	9.50
9	V	uniform	0.6470	0.3975	24.96
9	V	proj_hist	0.6470	0.5602	8.69
9	V	tile_hist	0.6470	0.5533	9.37
9	V	cross_out	0.6470	0.5507	9.63
9	O	uniform	0.6468	0.3972	24.96
9	O	proj_hist	0.6468	0.5565	9.03
9	O	tile_hist	0.6468	0.5583	8.85
9	O	cross_out	0.6468	0.5560	9.08
9	Gate	uniform	0.6462	0.3962	24.99
9	Gate	proj_hist	0.6462	0.5590	8.72
9	Gate	tile_hist	0.6462	0.5532	9.30
9	Gate	cross_out	0.6462	0.5534	9.28
9	Up	uniform	0.6467	0.3987	24.79
9	Up	proj_hist	0.6467	0.5574	8.92
9	Up	tile_hist	0.6467	0.5544	9.23
9	Up	cross_out	0.6467	0.5540	9.27
9	Down	uniform	0.6467	0.3979	24.88
9	Down	proj_hist	0.6467	0.5602	8.65
9	Down	tile_hist	0.6467	0.5536	9.31
9	Down	cross_out	0.6467	0.5508	9.59
10	Q	uniform	0.6471	0.3974	24.97
10	Q	proj_hist	0.6471	0.5594	8.76
10	Q	tile_hist	0.6471	0.5552	9.19
10	Q	cross_out	0.6471	0.5547	9.24
10	K	uniform	0.6479	0.3978	25.01
10	K	proj_hist	0.6479	0.5675	8.04
10	K	tile_hist	0.6479	0.5551	9.29
10	K	cross_out	0.6479	0.5544	9.35
10	V	uniform	0.6478	0.3985	24.93
10	V	proj_hist	0.6478	0.5527	9.50
10	V	tile_hist	0.6478	0.5532	9.45
10	V	cross_out	0.6478	0.5526	9.52
10	O	uniform	0.6448	0.3981	24.67
10	O	proj_hist	0.6448	0.5590	8.58
10	O	tile_hist	0.6448	0.5527	9.21
10	O	cross_out	0.6448	0.5506	9.42
10	Gate	uniform	0.6479	0.3978	25.01
10	Gate	proj_hist	0.6479	0.5577	9.03
10	Gate	tile_hist	0.6479	0.5550	9.30
