# host=ubuntu-desktop threads=4 layers=4 dim=4096 hidden=14336 reps=5
# kind	B	prefix	layer	sec
🧠 CPU: neon dotprod fp16
PLatt	4	128	0	0.003067000
PLff	4	128	0	0.011196000
PLatt	4	128	1	0.003114000
PLff	4	128	1	0.011328000
PLatt	4	128	2	0.003094000
PLff	4	128	2	0.011415000
PLatt	4	128	3	0.003116000
PLff	4	128	3	0.011343000
PLc0	4	128	-	0.027216000
PLchk	4	128	-	wall=0.0848s stepsum=0.0848s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	8	128	0	0.005787000
PLff	8	128	0	0.022416000
PLatt	8	128	1	0.005857000
PLff	8	128	1	0.022506000
PLatt	8	128	2	0.005861000
PLff	8	128	2	0.022653000
PLatt	8	128	3	0.005860000
PLff	8	128	3	0.022614000
PLc0	8	128	-	0.027289000
PLchk	8	128	-	wall=0.1413s stepsum=0.1413s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	16	128	0	0.006258000
PLff	16	128	0	0.023912000
PLatt	16	128	1	0.006317000
PLff	16	128	1	0.024142000
PLatt	16	128	2	0.005958000
PLff	16	128	2	0.024244000
PLatt	16	128	3	0.005629000
PLff	16	128	3	0.024279000
PLc0	16	128	-	0.027603000
PLchk	16	128	-	wall=0.1485s stepsum=0.1484s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	24	128	0	0.013209000
PLff	24	128	0	0.045888000
PLatt	24	128	1	0.010820000
PLff	24	128	1	0.046248000
PLatt	24	128	2	0.010413000
PLff	24	128	2	0.046332000
PLatt	24	128	3	0.010425000
PLff	24	128	3	0.046443000
PLc0	24	128	-	0.027859000
PLchk	24	128	-	wall=0.2611s stepsum=0.2611s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	32	128	0	0.012978000
PLff	32	128	0	0.048404000
PLatt	32	128	1	0.012252000
PLff	32	128	1	0.048641000
PLatt	32	128	2	0.012012000
PLff	32	128	2	0.048744000
PLatt	32	128	3	0.011890000
PLff	32	128	3	0.048664000
PLc0	32	128	-	0.027986000
PLchk	32	128	-	wall=0.2723s stepsum=0.2723s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	48	128	0	0.019922000
PLff	48	128	0	0.075638000
PLatt	48	128	1	0.018285000
PLff	48	128	1	0.075498000
PLatt	48	128	2	0.018319000
PLff	48	128	2	0.075777000
PLatt	48	128	3	0.018335000
PLff	48	128	3	0.075677000
PLc0	48	128	-	0.029499000
PLchk	48	128	-	wall=0.4090s stepsum=0.4090s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	64	128	0	0.029715000
PLff	64	128	0	0.103682000
PLatt	64	128	1	0.027894000
PLff	64	128	1	0.103786000
PLatt	64	128	2	0.026518000
PLff	64	128	2	0.105466000
PLatt	64	128	3	0.026447000
PLff	64	128	3	0.104773000
PLc0	64	128	-	0.030014000
PLchk	64	128	-	wall=0.5595s stepsum=0.5594s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	96	128	0	0.040585000
PLff	96	128	0	0.149853000
PLatt	96	128	1	0.037893000
PLff	96	128	1	0.151152000
PLatt	96	128	2	0.038000000
PLff	96	128	2	0.152410000
PLatt	96	128	3	0.038267000
PLff	96	128	3	0.151523000
PLc0	96	128	-	0.030808000
PLchk	96	128	-	wall=0.7919s stepsum=0.7919s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	128	128	0	0.054635000
PLff	128	128	0	0.204109000
PLatt	128	128	1	0.055511000
PLff	128	128	1	0.205108000
PLatt	128	128	2	0.055509000
PLff	128	128	2	0.204204000
PLatt	128	128	3	0.055325000
PLff	128	128	3	0.204534000
PLc0	128	128	-	0.032003000
PLchk	128	128	-	wall=1.0711s stepsum=1.0710s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	4	512	0	0.004404000
PLff	4	512	0	0.011712000
PLatt	4	512	1	0.003514000
PLff	4	512	1	0.011802000
PLatt	4	512	2	0.003541000
PLff	4	512	2	0.011756000
PLatt	4	512	3	0.003561000
PLff	4	512	3	0.011852000
PLc0	4	512	-	0.028358000
PLchk	4	512	-	wall=0.0907s stepsum=0.0907s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	8	512	0	0.008030000
PLff	8	512	0	0.023270000
PLatt	8	512	1	0.007560000
PLff	8	512	1	0.023410000
PLatt	8	512	2	0.007642000
PLff	8	512	2	0.023456000
PLatt	8	512	3	0.007609000
PLff	8	512	3	0.023456000
PLc0	8	512	-	0.028437000
PLchk	8	512	-	wall=0.1531s stepsum=0.1530s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	16	512	0	0.010388000
PLff	16	512	0	0.024899000
PLatt	16	512	1	0.008874000
PLff	16	512	1	0.025134000
PLatt	16	512	2	0.007654000
PLff	16	512	2	0.025021000
PLatt	16	512	3	0.007608000
PLff	16	512	3	0.025089000
PLc0	16	512	-	0.028654000
PLchk	16	512	-	wall=0.1635s stepsum=0.1635s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	24	512	0	0.017633000
PLff	24	512	0	0.047760000
PLatt	24	512	1	0.013351000
PLff	24	512	1	0.048149000
PLatt	24	512	2	0.013496000
PLff	24	512	2	0.048060000
PLatt	24	512	3	0.013403000
PLff	24	512	3	0.048022000
PLc0	24	512	-	0.028793000
PLchk	24	512	-	wall=0.2787s stepsum=0.2787s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	32	512	0	0.028037000
PLff	32	512	0	0.050532000
PLatt	32	512	1	0.028208000
PLff	32	512	1	0.050937000
PLatt	32	512	2	0.021123000
PLff	32	512	2	0.050745000
PLatt	32	512	3	0.018495000
PLff	32	512	3	0.050978000
PLc0	32	512	-	0.028965000
PLchk	32	512	-	wall=0.3284s stepsum=0.3284s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	48	512	0	0.032672000
PLff	48	512	0	0.075673000
PLatt	48	512	1	0.023977000
PLff	48	512	1	0.076041000
PLatt	48	512	2	0.023929000
PLff	48	512	2	0.076067000
PLatt	48	512	3	0.023916000
PLff	48	512	3	0.075911000
PLc0	48	512	-	0.029442000
PLchk	48	512	-	wall=0.4380s stepsum=0.4380s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	64	512	0	0.049405000
PLff	64	512	0	0.103744000
PLatt	64	512	1	0.041648000
PLff	64	512	1	0.103780000
PLatt	64	512	2	0.036783000
PLff	64	512	2	0.103825000
PLatt	64	512	3	0.036647000
PLff	64	512	3	0.103930000
PLc0	64	512	-	0.030115000
PLchk	64	512	-	wall=0.6106s stepsum=0.6106s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	96	512	0	0.078387000
PLff	96	512	0	0.151076000
PLatt	96	512	1	0.061221000
PLff	96	512	1	0.153636000
PLatt	96	512	2	0.053175000
PLff	96	512	2	0.152759000
PLatt	96	512	3	0.053079000
PLff	96	512	3	0.152433000
PLc0	96	512	-	0.030903000
PLchk	96	512	-	wall=0.8886s stepsum=0.8885s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	128	512	0	0.085667000
PLff	128	512	0	0.204000000
PLatt	128	512	1	0.074706000
PLff	128	512	1	0.203611000
PLatt	128	512	2	0.065075000
PLff	128	512	2	0.204247000
PLatt	128	512	3	0.064932000
PLff	128	512	3	0.204344000
PLc0	128	512	-	0.031940000
PLchk	128	512	-	wall=1.1406s stepsum=1.1406s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	4	2048	0	0.009263000
PLff	4	2048	0	0.011841000
PLatt	4	2048	1	0.005787000
PLff	4	2048	1	0.011693000
PLatt	4	2048	2	0.005721000
PLff	4	2048	2	0.011840000
PLatt	4	2048	3	0.005767000
PLff	4	2048	3	0.011755000
PLc0	4	2048	-	0.028386000
PLchk	4	2048	-	wall=0.1022s stepsum=0.1022s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	8	2048	0	0.016397000
