# host=ubuntu-desktop threads=4 layers=4 dim=4096 hidden=14336 reps=5
# kind	B	prefix	layer	sec
🧠 CPU: neon dotprod fp16
PLatt	4	128	0	0.003238000
PLff	4	128	0	0.012061000
PLatt	4	128	1	0.003264000
PLff	4	128	1	0.011999000
PLatt	4	128	2	0.003262000
PLff	4	128	2	0.012172000
PLatt	4	128	3	0.003253000
PLff	4	128	3	0.012012000
PLc0	4	128	-	0.029119000
PLchk	4	128	-	wall=0.0904s stepsum=0.0904s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	8	128	0	0.006125000
PLff	8	128	0	0.024072000
PLatt	8	128	1	0.006148000
PLff	8	128	1	0.024176000
PLatt	8	128	2	0.006147000
PLff	8	128	2	0.024044000
PLatt	8	128	3	0.006124000
PLff	8	128	3	0.024077000
PLc0	8	128	-	0.029359000
PLchk	8	128	-	wall=0.1503s stepsum=0.1502s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	16	128	0	0.006722000
PLff	16	128	0	0.025660000
PLatt	16	128	1	0.006874000
PLff	16	128	1	0.025803000
PLatt	16	128	2	0.006402000
PLff	16	128	2	0.025769000
PLatt	16	128	3	0.006145000
PLff	16	128	3	0.025862000
PLc0	16	128	-	0.029295000
PLchk	16	128	-	wall=0.1589s stepsum=0.1589s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	24	128	0	0.011936000
PLff	24	128	0	0.049228000
PLatt	24	128	1	0.011367000
PLff	24	128	1	0.049619000
PLatt	24	128	2	0.011006000
PLff	24	128	2	0.049715000
PLatt	24	128	3	0.010889000
PLff	24	128	3	0.049808000
PLc0	24	128	-	0.029424000
PLchk	24	128	-	wall=0.2731s stepsum=0.2731s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	32	128	0	0.014630000
PLff	32	128	0	0.051537000
PLatt	32	128	1	0.013558000
PLff	32	128	1	0.052037000
PLatt	32	128	2	0.012957000
PLff	32	128	2	0.052189000
PLatt	32	128	3	0.012973000
PLff	32	128	3	0.052578000
PLc0	32	128	-	0.029869000
PLchk	32	128	-	wall=0.2925s stepsum=0.2924s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	48	128	0	0.020261000
PLff	48	128	0	0.077344000
PLatt	48	128	1	0.018656000
PLff	48	128	1	0.076936000
PLatt	48	128	2	0.018772000
PLff	48	128	2	0.077394000
PLatt	48	128	3	0.018577000
PLff	48	128	3	0.077341000
PLc0	48	128	-	0.030437000
PLchk	48	128	-	wall=0.4162s stepsum=0.4162s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	64	128	0	0.029781000
PLff	64	128	0	0.104453000
PLatt	64	128	1	0.027940000
PLff	64	128	1	0.103582000
PLatt	64	128	2	0.026966000
PLff	64	128	2	0.104401000
PLatt	64	128	3	0.026956000
PLff	64	128	3	0.104577000
PLc0	64	128	-	0.030860000
PLchk	64	128	-	wall=0.5606s stepsum=0.5606s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	96	128	0	0.043381000
PLff	96	128	0	0.156072000
PLatt	96	128	1	0.038757000
PLff	96	128	1	0.157015000
PLatt	96	128	2	0.039101000
PLff	96	128	2	0.156801000
PLatt	96	128	3	0.039336000
PLff	96	128	3	0.157287000
PLc0	96	128	-	0.031360000
PLchk	96	128	-	wall=0.8198s stepsum=0.8198s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	128	128	0	0.055887000
PLff	128	128	0	0.210103000
PLatt	128	128	1	0.056384000
PLff	128	128	1	0.211135000
PLatt	128	128	2	0.056332000
PLff	128	128	2	0.210447000
PLatt	128	128	3	0.056960000
PLff	128	128	3	0.210767000
PLc0	128	128	-	0.032498000
PLchk	128	128	-	wall=1.1030s stepsum=1.1030s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	4	512	0	0.004486000
PLff	4	512	0	0.012061000
PLatt	4	512	1	0.003590000
PLff	4	512	1	0.012013000
PLatt	4	512	2	0.003605000
PLff	4	512	2	0.012073000
PLatt	4	512	3	0.003603000
PLff	4	512	3	0.011967000
PLc0	4	512	-	0.029012000
PLchk	4	512	-	wall=0.0926s stepsum=0.0926s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	8	512	0	0.008143000
PLff	8	512	0	0.023930000
PLatt	8	512	1	0.007628000
PLff	8	512	1	0.024062000
PLatt	8	512	2	0.007721000
PLff	8	512	2	0.024176000
PLatt	8	512	3	0.007694000
PLff	8	512	3	0.024333000
PLc0	8	512	-	0.029268000
PLchk	8	512	-	wall=0.1570s stepsum=0.1570s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	16	512	0	0.010683000
PLff	16	512	0	0.025590000
PLatt	16	512	1	0.009216000
PLff	16	512	1	0.025909000
PLatt	16	512	2	0.007751000
PLff	16	512	2	0.025966000
PLatt	16	512	3	0.007774000
PLff	16	512	3	0.026028000
PLc0	16	512	-	0.029390000
PLchk	16	512	-	wall=0.1684s stepsum=0.1683s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	24	512	0	0.019262000
PLff	24	512	0	0.049499000
PLatt	24	512	1	0.013990000
PLff	24	512	1	0.049538000
PLatt	24	512	2	0.014073000
PLff	24	512	2	0.049558000
PLatt	24	512	3	0.014039000
PLff	24	512	3	0.049567000
PLc0	24	512	-	0.029569000
PLchk	24	512	-	wall=0.2894s stepsum=0.2894s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	32	512	0	0.029263000
PLff	32	512	0	0.051965000
PLatt	32	512	1	0.029386000
PLff	32	512	1	0.052018000
PLatt	32	512	2	0.020765000
PLff	32	512	2	0.052152000
PLatt	32	512	3	0.018368000
PLff	32	512	3	0.052094000
PLc0	32	512	-	0.029953000
PLchk	32	512	-	wall=0.3367s stepsum=0.3367s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	48	512	0	0.032944000
PLff	48	512	0	0.076924000
PLatt	48	512	1	0.025902000
PLff	48	512	1	0.077163000
PLatt	48	512	2	0.025704000
PLff	48	512	2	0.077203000
PLatt	48	512	3	0.025747000
PLff	48	512	3	0.077010000
PLc0	48	512	-	0.030236000
PLchk	48	512	-	wall=0.4523s stepsum=0.4523s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	64	512	0	0.052992000
PLff	64	512	0	0.103679000
PLatt	64	512	1	0.040464000
PLff	64	512	1	0.103553000
PLatt	64	512	2	0.036024000
PLff	64	512	2	0.103837000
PLatt	64	512	3	0.035609000
PLff	64	512	3	0.103964000
PLc0	64	512	-	0.030652000
PLchk	64	512	-	wall=0.6109s stepsum=0.6109s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	96	512	0	0.074902000
PLff	96	512	0	0.156422000
PLatt	96	512	1	0.061358000
PLff	96	512	1	0.156761000
PLatt	96	512	2	0.053056000
PLff	96	512	2	0.156474000
PLatt	96	512	3	0.053026000
PLff	96	512	3	0.157391000
PLc0	96	512	-	0.031756000
PLchk	96	512	-	wall=0.9035s stepsum=0.9035s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	128	512	0	0.087759000
PLff	128	512	0	0.209455000
PLatt	128	512	1	0.075761000
PLff	128	512	1	0.210335000
PLatt	128	512	2	0.065480000
PLff	128	512	2	0.210776000
PLatt	128	512	3	0.065792000
PLff	128	512	3	0.210701000
PLc0	128	512	-	0.032428000
PLchk	128	512	-	wall=1.1708s stepsum=1.1708s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	4	2048	0	0.009386000
PLff	4	2048	0	0.011982000
PLatt	4	2048	1	0.005843000
PLff	4	2048	1	0.011828000
PLatt	4	2048	2	0.005804000
PLff	4	2048	2	0.012005000
PLatt	4	2048	3	0.005844000
PLff	4	2048	3	0.012054000
PLc0	4	2048	-	0.029005000
PLchk	4	2048	-	wall=0.1038s stepsum=0.1038s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	8	2048	0	0.016586000
PLff	8	2048	0	0.023966000
PLatt	8	2048	1	0.010585000
PLff	8	2048	1	0.023957000
PLatt	8	2048	2	0.010735000
PLff	8	2048	2	0.024003000
PLatt	8	2048	3	0.010678000
PLff	8	2048	3	0.023961000
PLc0	8	2048	-	0.029118000
PLchk	8	2048	-	wall=0.1739s stepsum=0.1738s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	16	2048	0	0.026988000
PLff	16	2048	0	0.025879000
PLatt	16	2048	1	0.027245000
PLff	16	2048	1	0.025778000
PLatt	16	2048	2	0.020752000
PLff	16	2048	2	0.026091000
PLatt	16	2048	3	0.015589000
PLff	16	2048	3	0.025815000
PLc0	16	2048	-	0.029323000
PLchk	16	2048	-	wall=0.2235s stepsum=0.2235s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	24	2048	0	0.053343000
PLff	24	2048	0	0.049439000
PLatt	24	2048	1	0.053037000
PLff	24	2048	1	0.049591000
PLatt	24	2048	2	0.038321000
PLff	24	2048	2	0.049863000
PLatt	24	2048	3	0.029276000
PLff	24	2048	3	0.049867000
PLc0	24	2048	-	0.029548000
PLchk	24	2048	-	wall=0.4026s stepsum=0.4026s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	32	2048	0	0.073735000
PLff	32	2048	0	0.051904000
PLatt	32	2048	1	0.073001000
PLff	32	2048	1	0.052316000
PLatt	32	2048	2	0.035991000
PLff	32	2048	2	0.052122000
PLatt	32	2048	3	0.035313000
PLff	32	2048	3	0.051748000
PLc0	32	2048	-	0.029811000
PLchk	32	2048	-	wall=0.4566s stepsum=0.4565s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	48	2048	0	0.111637000
PLff	48	2048	0	0.076977000
PLatt	48	2048	1	0.078695000
PLff	48	2048	1	0.077649000
PLatt	48	2048	2	0.060438000
PLff	48	2048	2	0.077221000
PLatt	48	2048	3	0.060638000
PLff	48	2048	3	0.077679000
PLc0	48	2048	-	0.030371000
PLchk	48	2048	-	wall=0.6502s stepsum=0.6502s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	64	2048	0	0.131317000
PLff	64	2048	0	0.104662000
PLatt	64	2048	1	0.075054000
PLff	64	2048	1	0.104395000
PLatt	64	2048	2	0.074751000
PLff	64	2048	2	0.104381000
PLatt	64	2048	3	0.074762000
PLff	64	2048	3	0.104799000
PLc0	64	2048	-	0.030719000
PLchk	64	2048	-	wall=0.8056s stepsum=0.8055s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	96	2048	0	0.256338000
PLff	96	2048	0	0.157321000
PLatt	96	2048	1	0.161406000
PLff	96	2048	1	0.157522000
PLatt	96	2048	2	0.127100000
PLff	96	2048	2	0.157190000
PLatt	96	2048	3	0.124875000
PLff	96	2048	3	0.157647000
PLc0	96	2048	-	0.031114000
PLchk	96	2048	-	wall=1.3336s stepsum=1.3335s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	128	2048	0	0.226637000
PLff	128	2048	0	0.210650000
PLatt	128	2048	1	0.131540000
PLff	128	2048	1	0.210220000
PLatt	128	2048	2	0.131312000
PLff	128	2048	2	0.210694000
PLatt	128	2048	3	0.132067000
PLff	128	2048	3	0.210668000
PLc0	128	2048	-	0.031546000
PLchk	128	2048	-	wall=1.4980s stepsum=1.4980s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	4	4096	0	0.016532000
PLff	4	4096	0	0.011875000
PLatt	4	4096	1	0.011701000
PLff	4	4096	1	0.011857000
PLatt	4	4096	2	0.009159000
PLff	4	4096	2	0.012029000
PLatt	4	4096	3	0.008835000
PLff	4	4096	3	0.012005000
PLc0	4	4096	-	0.029154000
PLchk	4	4096	-	wall=0.1236s stepsum=0.1236s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	8	4096	0	0.028912000
PLff	8	4096	0	0.023890000
PLatt	8	4096	1	0.016123000
PLff	8	4096	1	0.023932000
PLatt	8	4096	2	0.016530000
