# host=ubuntu-desktop threads=4 layers=4 dim=4096 hidden=14336 reps=5
# kind	B	prefix	layer	sec
🧠 CPU: neon dotprod fp16
PLff	8	4096	2	0.023959000
PLatt	8	4096	3	0.016548000
PLff	8	4096	3	0.023842000
PLc0	8	4096	-	0.029024000
PLchk	8	4096	-	wall=0.2028s stepsum=0.2028s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	16	4096	0	0.048565000
PLff	16	4096	0	0.025758000
PLatt	16	4096	1	0.025192000
PLff	16	4096	1	0.025659000
PLatt	16	4096	2	0.025354000
PLff	16	4096	2	0.025731000
PLatt	16	4096	3	0.025386000
PLff	16	4096	3	0.025584000
PLc0	16	4096	-	0.029474000
PLchk	16	4096	-	wall=0.2572s stepsum=0.2572s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	24	4096	0	0.077062000
PLff	24	4096	0	0.049479000
PLatt	24	4096	1	0.057401000
PLff	24	4096	1	0.049741000
PLatt	24	4096	2	0.039287000
PLff	24	4096	2	0.049425000
PLatt	24	4096	3	0.039385000
PLff	24	4096	3	0.049585000
PLc0	24	4096	-	0.029621000
PLchk	24	4096	-	wall=0.4432s stepsum=0.4432s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	32	4096	0	0.115187000
PLff	32	4096	0	0.051644000
PLatt	32	4096	1	0.061537000
PLff	32	4096	1	0.051629000
PLatt	32	4096	2	0.061975000
PLff	32	4096	2	0.051712000
PLatt	32	4096	3	0.062463000
PLff	32	4096	3	0.051672000
PLc0	32	4096	-	0.029102000
PLchk	32	4096	-	wall=0.5370s stepsum=0.5370s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	48	4096	0	0.175502000
PLff	48	4096	0	0.077056000
PLatt	48	4096	1	0.088759000
PLff	48	4096	1	0.076913000
PLatt	48	4096	2	0.089722000
PLff	48	4096	2	0.076995000
PLatt	48	4096	3	0.089755000
PLff	48	4096	3	0.077115000
PLc0	48	4096	-	0.029669000
PLchk	48	4096	-	wall=0.7824s stepsum=0.7824s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	64	4096	0	0.285015000
PLff	64	4096	0	0.103891000
PLatt	64	4096	1	0.179354000
PLff	64	4096	1	0.103794000
PLatt	64	4096	2	0.128566000
PLff	64	4096	2	0.103995000
PLatt	64	4096	3	0.125196000
PLff	64	4096	3	0.103880000
PLc0	64	4096	-	0.029993000
PLchk	64	4096	-	wall=1.1635s stepsum=1.1635s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	96	4096	0	0.410732000
PLff	96	4096	0	0.157087000
PLatt	96	4096	1	0.410603000
PLff	96	4096	1	0.157125000
PLatt	96	4096	2	0.410507000
PLff	96	4096	2	0.157264000
PLatt	96	4096	3	0.409827000
PLff	96	4096	3	0.157681000
PLc0	96	4096	-	0.031093000
PLchk	96	4096	-	wall=2.3021s stepsum=2.3021s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	128	4096	0	0.415129000
PLff	128	4096	0	0.210546000
PLatt	128	4096	1	0.313646000
PLff	128	4096	1	0.212832000
PLatt	128	4096	2	0.218705000
PLff	128	4096	2	0.211436000
PLatt	128	4096	3	0.220538000
PLff	128	4096	3	0.210177000
PLc0	128	4096	-	0.032181000
PLchk	128	4096	-	wall=2.0507s stepsum=2.0507s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	4	8192	0	0.018064000
PLff	4	8192	0	0.011951000
PLatt	4	8192	1	0.014667000
PLff	4	8192	1	0.011926000
PLatt	4	8192	2	0.014500000
PLff	4	8192	2	0.011896000
PLatt	4	8192	3	0.014763000
PLff	4	8192	3	0.012079000
PLc0	4	8192	-	0.028654000
PLchk	4	8192	-	wall=0.1388s stepsum=0.1388s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	8	8192	0	0.050680000
PLff	8	8192	0	0.023922000
PLatt	8	8192	1	0.026801000
PLff	8	8192	1	0.023900000
PLatt	8	8192	2	0.025920000
PLff	8	8192	2	0.023972000
PLatt	8	8192	3	0.026821000
PLff	8	8192	3	0.023898000
PLc0	8	8192	-	0.028529000
PLchk	8	8192	-	wall=0.2548s stepsum=0.2548s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	16	8192	0	0.090845000
PLff	16	8192	0	0.025673000
PLatt	16	8192	1	0.045561000
PLff	16	8192	1	0.025774000
PLatt	16	8192	2	0.045710000
PLff	16	8192	2	0.025837000
PLatt	16	8192	3	0.044940000
PLff	16	8192	3	0.025719000
PLc0	16	8192	-	0.028880000
PLchk	16	8192	-	wall=0.3614s stepsum=0.3614s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	24	8192	0	0.141671000
PLff	24	8192	0	0.049480000
PLatt	24	8192	1	0.069786000
PLff	24	8192	1	0.049739000
PLatt	24	8192	2	0.070856000
PLff	24	8192	2	0.049862000
PLatt	24	8192	3	0.070176000
PLff	24	8192	3	0.049484000
PLc0	24	8192	-	0.028904000
PLchk	24	8192	-	wall=0.5815s stepsum=0.5815s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	32	8192	0	0.237326000
PLff	32	8192	0	0.051802000
PLatt	32	8192	1	0.114192000
PLff	32	8192	1	0.051540000
PLatt	32	8192	2	0.113984000
PLff	32	8192	2	0.051756000
PLatt	32	8192	3	0.112715000
PLff	32	8192	3	0.051946000
PLc0	32	8192	-	0.029240000
PLchk	32	8192	-	wall=0.8148s stepsum=0.8148s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	48	8192	0	0.352521000
PLff	48	8192	0	0.076449000
PLatt	48	8192	1	0.159560000
PLff	48	8192	1	0.077030000
PLatt	48	8192	2	0.160170000
PLff	48	8192	2	0.076912000
PLatt	48	8192	3	0.159843000
PLff	48	8192	3	0.077291000
PLc0	48	8192	-	0.029792000
PLchk	48	8192	-	wall=1.1708s stepsum=1.1708s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	64	8192	0	0.511247000
PLff	64	8192	0	0.103747000
PLatt	64	8192	1	0.456570000
PLff	64	8192	1	0.103524000
PLatt	64	8192	2	0.272401000
PLff	64	8192	2	0.103801000
PLatt	64	8192	3	0.237978000
PLff	64	8192	3	0.088920000
PLc0	64	8192	-	0.029810000
PLchk	64	8192	-	wall=1.9082s stepsum=1.9082s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	96	8192	0	0.693295000
PLff	96	8192	0	0.156566000
PLatt	96	8192	1	0.341959000
PLff	96	8192	1	0.157731000
PLatt	96	8192	2	0.332871000
PLff	96	8192	2	0.157523000
PLatt	96	8192	3	0.341731000
PLff	96	8192	3	0.132097000
PLc0	96	8192	-	0.031234000
PLchk	96	8192	-	wall=2.3441s stepsum=2.3440s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	128	8192	0	1.002302000
PLff	128	8192	0	0.208820000
PLatt	128	8192	1	0.592260000
PLff	128	8192	1	0.209182000
PLatt	128	8192	2	0.436886000
PLff	128	8192	2	0.176828000
PLatt	128	8192	3	0.449254000
PLff	128	8192	3	0.175745000
PLc0	128	8192	-	0.031989000
PLchk	128	8192	-	wall=3.2824s stepsum=3.2823s ratio=1.000
