# host=ubuntu-desktop threads=4 layers=4 dim=4096 hidden=14336 reps=5
# kind	B	prefix	layer	sec
🧠 CPU: neon dotprod fp16
PLatt	4	128	0	0.003005000
PLff	4	128	0	0.011345000
PLatt	4	128	1	0.003007000
PLff	4	128	1	0.011134000
PLatt	4	128	2	0.003053000
PLff	4	128	2	0.011521000
PLatt	4	128	3	0.003014000
PLff	4	128	3	0.011286000
PLc0	4	128	-	0.025802000
PLchk	4	128	-	wall=0.0839s stepsum=0.0839s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	8	128	0	0.005615000
PLff	8	128	0	0.022364000
PLatt	8	128	1	0.005730000
PLff	8	128	1	0.022523000
PLatt	8	128	2	0.005674000
PLff	8	128	2	0.022611000
PLatt	8	128	3	0.005765000
PLff	8	128	3	0.023007000
PLc0	8	128	-	0.027042000
PLchk	8	128	-	wall=0.1405s stepsum=0.1404s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	16	128	0	0.006249000
PLff	16	128	0	0.026143000
PLatt	16	128	1	0.006202000
PLff	16	128	1	0.025709000
PLatt	16	128	2	0.005638000
PLff	16	128	2	0.025719000
PLatt	16	128	3	0.005640000
PLff	16	128	3	0.026374000
PLc0	16	128	-	0.026494000
PLchk	16	128	-	wall=0.1546s stepsum=0.1545s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	24	128	0	0.012264000
PLff	24	128	0	0.049039000
PLatt	24	128	1	0.011964000
PLff	24	128	1	0.049855000
PLatt	24	128	2	0.010735000
PLff	24	128	2	0.048889000
PLatt	24	128	3	0.010991000
PLff	24	128	3	0.048077000
PLc0	24	128	-	0.028245000
PLchk	24	128	-	wall=0.2699s stepsum=0.2699s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	32	128	0	0.013169000
PLff	32	128	0	0.053507000
PLatt	32	128	1	0.012402000
PLff	32	128	1	0.053940000
PLatt	32	128	2	0.011563000
PLff	32	128	2	0.053717000
PLatt	32	128	3	0.011900000
PLff	32	128	3	0.053241000
PLc0	32	128	-	0.027606000
PLchk	32	128	-	wall=0.2912s stepsum=0.2911s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	48	128	0	0.019128000
PLff	48	128	0	0.081045000
PLatt	48	128	1	0.017320000
PLff	48	128	1	0.077552000
PLatt	48	128	2	0.017165000
PLff	48	128	2	0.079298000
PLatt	48	128	3	0.017337000
PLff	48	128	3	0.079386000
PLc0	48	128	-	0.028329000
PLchk	48	128	-	wall=0.4160s stepsum=0.4160s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	64	128	0	0.028184000
PLff	64	128	0	0.108339000
PLatt	64	128	1	0.025447000
PLff	64	128	1	0.103706000
PLatt	64	128	2	0.025810000
PLff	64	128	2	0.103092000
PLatt	64	128	3	0.025631000
PLff	64	128	3	0.104477000
PLc0	64	128	-	0.028674000
PLchk	64	128	-	wall=0.5532s stepsum=0.5532s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	96	128	0	0.042800000
PLff	96	128	0	0.159181000
PLatt	96	128	1	0.039131000
PLff	96	128	1	0.159190000
PLatt	96	128	2	0.039110000
PLff	96	128	2	0.161996000
PLatt	96	128	3	0.039780000
PLff	96	128	3	0.158379000
PLc0	96	128	-	0.030235000
PLchk	96	128	-	wall=0.8310s stepsum=0.8309s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	128	128	0	0.054605000
PLff	128	128	0	0.207520000
PLatt	128	128	1	0.054944000
PLff	128	128	1	0.206186000
PLatt	128	128	2	0.055009000
PLff	128	128	2	0.205633000
PLatt	128	128	3	0.055064000
PLff	128	128	3	0.207646000
PLc0	128	128	-	0.030618000
PLchk	128	128	-	wall=1.0773s stepsum=1.0772s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	4	512	0	0.004316000
PLff	4	512	0	0.011579000
PLatt	4	512	1	0.003350000
PLff	4	512	1	0.011509000
PLatt	4	512	2	0.003420000
PLff	4	512	2	0.011802000
PLatt	4	512	3	0.003459000
PLff	4	512	3	0.011873000
PLc0	4	512	-	0.028135000
PLchk	4	512	-	wall=0.0895s stepsum=0.0894s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	8	512	0	0.007831000
PLff	8	512	0	0.023570000
PLatt	8	512	1	0.007589000
PLff	8	512	1	0.023278000
PLatt	8	512	2	0.006683000
PLff	8	512	2	0.023084000
PLatt	8	512	3	0.006617000
PLff	8	512	3	0.023262000
PLc0	8	512	-	0.028503000
PLchk	8	512	-	wall=0.1509s stepsum=0.1508s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	16	512	0	0.010515000
PLff	16	512	0	0.026921000
PLatt	16	512	1	0.007584000
PLff	16	512	1	0.027147000
PLatt	16	512	2	0.007341000
PLff	16	512	2	0.027356000
PLatt	16	512	3	0.007427000
PLff	16	512	3	0.027201000
PLc0	16	512	-	0.028604000
PLchk	16	512	-	wall=0.1702s stepsum=0.1702s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	24	512	0	0.017625000
PLff	24	512	0	0.051206000
PLatt	24	512	1	0.013336000
