# host=ubuntu-desktop threads=4 layers=4 dim=4096 hidden=14336 reps=5
# kind	B	prefix	layer	sec
🧠 CPU: neon dotprod fp16
PLatt	4	128	0	0.003087000
PLff	4	128	0	0.012029000
PLatt	4	128	1	0.003266000
PLff	4	128	1	0.012525000
PLatt	4	128	2	0.003371000
PLff	4	128	2	0.012611000
PLatt	4	128	3	0.003161000
PLff	4	128	3	0.012079000
PLc0	4	128	-	0.029632000
PLchk	4	128	-	wall=0.0920s stepsum=0.0920s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	8	128	0	0.005838000
PLff	8	128	0	0.024390000
PLatt	8	128	1	0.006144000
PLff	8	128	1	0.024800000
PLatt	8	128	2	0.006114000
PLff	8	128	2	0.025286000
PLatt	8	128	3	0.005882000
PLff	8	128	3	0.025091000
PLc0	8	128	-	0.029303000
PLchk	8	128	-	wall=0.1539s stepsum=0.1539s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	16	128	0	0.006333000
PLff	16	128	0	0.026200000
PLatt	16	128	1	0.006492000
PLff	16	128	1	0.025596000
PLatt	16	128	2	0.006420000
PLff	16	128	2	0.024872000
PLatt	16	128	3	0.006445000
PLff	16	128	3	0.025344000
PLc0	16	128	-	0.029703000
PLchk	16	128	-	wall=0.1579s stepsum=0.1579s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	24	128	0	0.012247000
PLff	24	128	0	0.049098000
PLatt	24	128	1	0.012540000
PLff	24	128	1	0.049287000
PLatt	24	128	2	0.012065000
PLff	24	128	2	0.048193000
PLatt	24	128	3	0.012852000
PLff	24	128	3	0.050015000
PLc0	24	128	-	0.029089000
PLchk	24	128	-	wall=0.2757s stepsum=0.2757s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	32	128	0	0.014931000
PLff	32	128	0	0.050259000
PLatt	32	128	1	0.014326000
PLff	32	128	1	0.049784000
PLatt	32	128	2	0.014701000
PLff	32	128	2	0.050078000
PLatt	32	128	3	0.014309000
PLff	32	128	3	0.049893000
PLc0	32	128	-	0.030221000
PLchk	32	128	-	wall=0.2888s stepsum=0.2888s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	48	128	0	0.019440000
PLff	48	128	0	0.077903000
PLatt	48	128	1	0.019462000
PLff	48	128	1	0.074299000
PLatt	48	128	2	0.019858000
PLff	48	128	2	0.077336000
PLatt	48	128	3	0.019691000
PLff	48	128	3	0.075946000
PLc0	48	128	-	0.030694000
PLchk	48	128	-	wall=0.4163s stepsum=0.4162s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	64	128	0	0.028324000
PLff	64	128	0	0.106463000
PLatt	64	128	1	0.029399000
PLff	64	128	1	0.102195000
PLatt	64	128	2	0.029418000
PLff	64	128	2	0.106765000
PLatt	64	128	3	0.029320000
PLff	64	128	3	0.108212000
PLc0	64	128	-	0.030460000
PLchk	64	128	-	wall=0.5708s stepsum=0.5708s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	96	128	0	0.042677000
PLff	96	128	0	0.159176000
PLatt	96	128	1	0.042741000
PLff	96	128	1	0.161431000
PLatt	96	128	2	0.043562000
PLff	96	128	2	0.159355000
PLatt	96	128	3	0.044187000
PLff	96	128	3	0.158709000
PLc0	96	128	-	0.032483000
PLchk	96	128	-	wall=0.8461s stepsum=0.8460s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	128	128	0	0.056692000
PLff	128	128	0	0.216755000
PLatt	128	128	1	0.056208000
PLff	128	128	1	0.216666000
PLatt	128	128	2	0.055981000
PLff	128	128	2	0.214718000
PLatt	128	128	3	0.055836000
PLff	128	128	3	0.216889000
PLc0	128	128	-	0.032510000
PLchk	128	128	-	wall=1.1227s stepsum=1.1227s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	4	512	0	0.004394000
PLff	4	512	0	0.012199000
PLatt	4	512	1	0.004461000
PLff	4	512	1	0.012410000
PLatt	4	512	2	0.004367000
PLff	4	512	2	0.012308000
PLatt	4	512	3	0.004242000
PLff	4	512	3	0.013112000
PLc0	4	512	-	0.029307000
PLchk	4	512	-	wall=0.0969s stepsum=0.0968s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	8	512	0	0.008284000
PLff	8	512	0	0.025323000
PLatt	8	512	1	0.008499000
PLff	8	512	1	0.025206000
PLatt	8	512	2	0.008431000
PLff	8	512	2	0.024712000
PLatt	8	512	3	0.008194000
PLff	8	512	3	0.024002000
PLc0	8	512	-	0.028326000
PLchk	8	512	-	wall=0.1608s stepsum=0.1608s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	16	512	0	0.010355000
PLff	16	512	0	0.025704000
PLatt	16	512	1	0.010459000
PLff	16	512	1	0.026058000
PLatt	16	512	2	0.010230000
PLff	16	512	2	0.025484000
PLatt	16	512	3	0.010217000
