# host=ubuntu-desktop threads=4 layers=4 dim=4096 hidden=14336 reps=5
# kind	B	prefix	layer	sec
🧠 CPU: neon dotprod fp16
PLatt	4	128	0	0.003241000
PLff	4	128	0	0.012137000
PLatt	4	128	1	0.003323000
PLff	4	128	1	0.012058000
PLatt	4	128	2	0.003358000
PLff	4	128	2	0.012073000
PLatt	4	128	3	0.003281000
PLff	4	128	3	0.012206000
PLc0	4	128	-	0.028818000
PLchk	4	128	-	wall=0.0907s stepsum=0.0907s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	8	128	0	0.006108000
PLff	8	128	0	0.024062000
PLatt	8	128	1	0.006177000
PLff	8	128	1	0.023897000
PLatt	8	128	2	0.006157000
PLff	8	128	2	0.024072000
PLatt	8	128	3	0.006157000
PLff	8	128	3	0.024109000
PLc0	8	128	-	0.029255000
PLchk	8	128	-	wall=0.1505s stepsum=0.1505s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	16	128	0	0.006761000
PLff	16	128	0	0.026185000
PLatt	16	128	1	0.006689000
PLff	16	128	1	0.026414000
PLatt	16	128	2	0.006294000
PLff	16	128	2	0.026502000
PLatt	16	128	3	0.006041000
PLff	16	128	3	0.026529000
PLc0	16	128	-	0.029458000
PLchk	16	128	-	wall=0.1613s stepsum=0.1612s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	24	128	0	0.011862000
PLff	24	128	0	0.049806000
PLatt	24	128	1	0.011354000
PLff	24	128	1	0.050107000
PLatt	24	128	2	0.010950000
PLff	24	128	2	0.050204000
PLatt	24	128	3	0.010975000
PLff	24	128	3	0.050299000
PLc0	24	128	-	0.029686000
PLchk	24	128	-	wall=0.2754s stepsum=0.2754s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	32	128	0	0.014445000
PLff	32	128	0	0.053745000
PLatt	32	128	1	0.013192000
PLff	32	128	1	0.054551000
PLatt	32	128	2	0.012703000
PLff	32	128	2	0.054034000
PLatt	32	128	3	0.012785000
PLff	32	128	3	0.054260000
PLc0	32	128	-	0.029922000
PLchk	32	128	-	wall=0.2998s stepsum=0.2998s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	48	128	0	0.020961000
PLff	48	128	0	0.078373000
PLatt	48	128	1	0.018904000
PLff	48	128	1	0.079538000
PLatt	48	128	2	0.019153000
PLff	48	128	2	0.079517000
PLatt	48	128	3	0.018927000
PLff	48	128	3	0.079558000
PLc0	48	128	-	0.030135000
PLchk	48	128	-	wall=0.4256s stepsum=0.4256s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	64	128	0	0.030551000
PLff	64	128	0	0.107056000
PLatt	64	128	1	0.028485000
PLff	64	128	1	0.106696000
PLatt	64	128	2	0.027220000
PLff	64	128	2	0.107091000
PLatt	64	128	3	0.027372000
PLff	64	128	3	0.106970000
PLc0	64	128	-	0.030954000
PLchk	64	128	-	wall=0.5733s stepsum=0.5733s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	96	128	0	0.041051000
PLff	96	128	0	0.158435000
PLatt	96	128	1	0.038221000
PLff	96	128	1	0.159753000
PLatt	96	128	2	0.038324000
PLff	96	128	2	0.160116000
PLatt	96	128	3	0.038530000
PLff	96	128	3	0.159600000
PLc0	96	128	-	0.031595000
PLchk	96	128	-	wall=0.8255s stepsum=0.8255s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	128	128	0	0.055874000
PLff	128	128	0	0.213094000
PLatt	128	128	1	0.056068000
PLff	128	128	1	0.214165000
PLatt	128	128	2	0.056864000
PLff	128	128	2	0.214856000
