# host=ubuntu-desktop threads=4 layers=4 dim=4096 hidden=14336 reps=5
# kind	B	prefix	layer	sec
🧠 CPU: neon dotprod fp16
PLatt	4	128	0	0.003091000
PLff	4	128	0	0.011403000
PLatt	4	128	1	0.003106000
PLff	4	128	1	0.011255000
PLatt	4	128	2	0.003109000
PLff	4	128	2	0.011322000
PLatt	4	128	3	0.003047000
PLff	4	128	3	0.011527000
PLc0	4	128	-	0.027221000
PLchk	4	128	-	wall=0.0850s stepsum=0.0850s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	8	128	0	0.005811000
PLff	8	128	0	0.022618000
PLatt	8	128	1	0.005754000
PLff	8	128	1	0.022669000
PLatt	8	128	2	0.005798000
PLff	8	128	2	0.022750000
PLatt	8	128	3	0.005817000
PLff	8	128	3	0.022472000
PLc0	8	128	-	0.027248000
PLchk	8	128	-	wall=0.1414s stepsum=0.1414s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	16	128	0	0.006285000
PLff	16	128	0	0.024410000
PLatt	16	128	1	0.006334000
PLff	16	128	1	0.024416000
PLatt	16	128	2	0.005615000
PLff	16	128	2	0.024525000
PLatt	16	128	3	0.005613000
PLff	16	128	3	0.024680000
PLc0	16	128	-	0.027548000
PLchk	16	128	-	wall=0.1497s stepsum=0.1496s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	24	128	0	0.011610000
PLff	24	128	0	0.047012000
PLatt	24	128	1	0.011004000
PLff	24	128	1	0.047245000
PLatt	24	128	2	0.010527000
PLff	24	128	2	0.047013000
PLatt	24	128	3	0.010471000
PLff	24	128	3	0.047017000
PLc0	24	128	-	0.027707000
PLchk	24	128	-	wall=0.2598s stepsum=0.2597s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	32	128	0	0.014322000
PLff	32	128	0	0.051245000
PLatt	32	128	1	0.012876000
PLff	32	128	1	0.052238000
PLatt	32	128	2	0.012483000
PLff	32	128	2	0.050844000
PLatt	32	128	3	0.012464000
PLff	32	128	3	0.052744000
PLc0	32	128	-	0.028874000
PLchk	32	128	-	wall=0.2870s stepsum=0.2869s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	48	128	0	0.020278000
PLff	48	128	0	0.077405000
PLatt	48	128	1	0.018626000
PLff	48	128	1	0.076865000
PLatt	48	128	2	0.018728000
PLff	48	128	2	0.077672000
PLatt	48	128	3	0.018561000
PLff	48	128	3	0.077032000
PLc0	48	128	-	0.029331000
PLchk	48	128	-	wall=0.4153s stepsum=0.4153s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	64	128	0	0.028746000
PLff	64	128	0	0.103367000
PLatt	64	128	1	0.026435000
PLff	64	128	1	0.102033000
PLatt	64	128	2	0.025506000
PLff	64	128	2	0.102680000
PLatt	64	128	3	0.025543000
PLff	64	128	3	0.103580000
PLc0	64	128	-	0.029844000
PLchk	64	128	-	wall=0.5486s stepsum=0.5486s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	96	128	0	0.041342000
PLff	96	128	0	0.154499000
PLatt	96	128	1	0.038157000
PLff	96	128	1	0.154456000
PLatt	96	128	2	0.037875000
PLff	96	128	2	0.155220000
PLatt	96	128	3	0.037948000
PLff	96	128	3	0.155072000
PLc0	96	128	-	0.030741000
PLchk	96	128	-	wall=0.8069s stepsum=0.8069s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	128	128	0	0.054933000
PLff	128	128	0	0.206030000
PLatt	128	128	1	0.055416000
PLff	128	128	1	0.205778000
PLatt	128	128	2	0.055652000
PLff	128	128	2	0.205953000
