# host=ubuntu-desktop threads=4 layers=4 dim=4096 hidden=14336 reps=5
# kind	B	prefix	layer	sec
🧠 CPU: neon dotprod fp16
PLatt	64	512	2	0.034512000
PLff	64	512	2	0.100431000
PLatt	64	512	3	0.034665000
PLff	64	512	3	0.100684000
PLc0	64	512	-	0.029778000
PLchk	64	512	-	wall=0.5915s stepsum=0.5914s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	96	512	0	0.074077000
PLff	96	512	0	0.150919000
PLatt	96	512	1	0.060334000
PLff	96	512	1	0.151394000
PLatt	96	512	2	0.052076000
PLff	96	512	2	0.151210000
PLatt	96	512	3	0.051846000
PLff	96	512	3	0.150960000
PLc0	96	512	-	0.031040000
PLchk	96	512	-	wall=0.8740s stepsum=0.8740s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	128	512	0	0.085595000
PLff	128	512	0	0.201853000
PLatt	128	512	1	0.085447000
PLff	128	512	1	0.203021000
PLatt	128	512	2	0.064291000
PLff	128	512	2	0.201947000
PLatt	128	512	3	0.064486000
PLff	128	512	3	0.202607000
PLc0	128	512	-	0.031976000
PLchk	128	512	-	wall=1.1409s stepsum=1.1408s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	4	2048	0	0.009232000
PLff	4	2048	0	0.011841000
PLatt	4	2048	1	0.005773000
PLff	4	2048	1	0.011744000
PLatt	4	2048	2	0.005725000
PLff	4	2048	2	0.011816000
PLatt	4	2048	3	0.005765000
PLff	4	2048	3	0.011760000
PLc0	4	2048	-	0.028470000
PLchk	4	2048	-	wall=0.1023s stepsum=0.1022s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	8	2048	0	0.016612000
PLff	8	2048	0	0.023332000
PLatt	8	2048	1	0.010565000
PLff	8	2048	1	0.023436000
PLatt	8	2048	2	0.010549000
PLff	8	2048	2	0.023540000
PLatt	8	2048	3	0.010441000
PLff	8	2048	3	0.023445000
PLc0	8	2048	-	0.028629000
PLchk	8	2048	-	wall=0.1711s stepsum=0.1711s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	16	2048	0	0.026912000
PLff	16	2048	0	0.025008000
PLatt	16	2048	1	0.027298000
PLff	16	2048	1	0.025122000
PLatt	16	2048	2	0.020677000
PLff	16	2048	2	0.025043000
PLatt	16	2048	3	0.015568000
PLff	16	2048	3	0.025061000
PLc0	16	2048	-	0.028690000
PLchk	16	2048	-	wall=0.2196s stepsum=0.2196s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	24	2048	0	0.044545000
PLff	24	2048	0	0.048424000
PLatt	24	2048	1	0.044476000
PLff	24	2048	1	0.048315000
PLatt	24	2048	2	0.036154000
PLff	24	2048	2	0.048330000
PLatt	24	2048	3	0.027204000
PLff	24	2048	3	0.048610000
PLc0	24	2048	-	0.028833000
PLchk	24	2048	-	wall=0.3748s stepsum=0.3748s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	32	2048	0	0.077239000
PLff	32	2048	0	0.050585000
PLatt	32	2048	1	0.076886000
PLff	32	2048	1	0.050763000
PLatt	32	2048	2	0.037493000
PLff	32	2048	2	0.050703000
PLatt	32	2048	3	0.037342000
PLff	32	2048	3	0.050634000
PLc0	32	2048	-	0.029097000
PLchk	32	2048	-	wall=0.4609s stepsum=0.4609s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	48	2048	0	0.107277000
PLff	48	2048	0	0.075424000
PLatt	48	2048	1	0.107155000
PLff	48	2048	1	0.075807000
PLatt	48	2048	2	0.057606000
PLff	48	2048	2	0.075679000
PLatt	48	2048	3	0.057270000
PLff	48	2048	3	0.075637000
PLc0	48	2048	-	0.029463000
PLchk	48	2048	-	wall=0.6611s stepsum=0.6611s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	64	2048	0	0.122244000
PLff	64	2048	0	0.101465000
PLatt	64	2048	1	0.071244000
PLff	64	2048	1	0.101567000
PLatt	64	2048	2	0.071577000
PLff	64	2048	2	0.101818000
PLatt	64	2048	3	0.071588000
PLff	64	2048	3	0.101203000
PLc0	64	2048	-	0.030098000
PLchk	64	2048	-	wall=0.7736s stepsum=0.7736s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	96	2048	0	0.251825000
PLff	96	2048	0	0.150590000
PLatt	96	2048	1	0.152201000
PLff	96	2048	1	0.151454000
PLatt	96	2048	2	0.134000000
PLff	96	2048	2	0.151067000
PLatt	96	2048	3	0.128875000
PLff	96	2048	3	0.151433000
PLc0	96	2048	-	0.030274000
PLchk	96	2048	-	wall=1.3037s stepsum=1.3037s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	128	2048	0	0.218591000
PLff	128	2048	0	0.202755000
PLatt	128	2048	1	0.125522000
PLff	128	2048	1	0.202247000
PLatt	128	2048	2	0.125855000
PLff	128	2048	2	0.202423000
PLatt	128	2048	3	0.125429000
PLff	128	2048	3	0.202637000
PLc0	128	2048	-	0.031312000
PLchk	128	2048	-	wall=1.4373s stepsum=1.4373s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	4	4096	0	0.016173000
PLff	4	4096	0	0.011686000
PLatt	4	4096	1	0.015605000
PLff	4	4096	1	0.011804000
PLatt	4	4096	2	0.016199000
PLff	4	4096	2	0.011747000
PLatt	4	4096	3	0.008561000
PLff	4	4096	3	0.011828000
PLc0	4	4096	-	0.028402000
PLchk	4	4096	-	wall=0.1321s stepsum=0.1321s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	8	4096	0	0.028201000
PLff	8	4096	0	0.023326000
PLatt	8	4096	1	0.020869000
PLff	8	4096	1	0.023480000
PLatt	8	4096	2	0.016352000
PLff	8	4096	2	0.023385000
PLatt	8	4096	3	0.016196000
PLff	8	4096	3	0.023356000
PLc0	8	4096	-	0.028396000
PLchk	8	4096	-	wall=0.2047s stepsum=0.2047s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	16	4096	0	0.048313000
PLff	16	4096	0	0.025010000
PLatt	16	4096	1	0.042855000
PLff	16	4096	1	0.024845000
PLatt	16	4096	2	0.025185000
PLff	16	4096	2	0.024978000
PLatt	16	4096	3	0.025170000
PLff	16	4096	3	0.024903000
PLc0	16	4096	-	0.028673000
PLchk	16	4096	-	wall=0.2705s stepsum=0.2705s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	24	4096	0	0.079021000
PLff	24	4096	0	0.048471000
PLatt	24	4096	1	0.058437000
PLff	24	4096	1	0.048597000
PLatt	24	4096	2	0.040493000
PLff	24	4096	2	0.048301000
PLatt	24	4096	3	0.040544000
PLff	24	4096	3	0.048392000
PLc0	24	4096	-	0.028669000
PLchk	24	4096	-	wall=0.4413s stepsum=0.4413s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	32	4096	0	0.116060000
PLff	32	4096	0	0.050641000
PLatt	32	4096	1	0.062054000
PLff	32	4096	1	0.050557000
PLatt	32	4096	2	0.062083000
PLff	32	4096	2	0.051000000
PLatt	32	4096	3	0.062323000
PLff	32	4096	3	0.050565000
PLc0	32	4096	-	0.028398000
PLchk	32	4096	-	wall=0.5340s stepsum=0.5340s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	48	4096	0	0.180378000
PLff	48	4096	0	0.075132000
PLatt	48	4096	1	0.090526000
PLff	48	4096	1	0.075176000
PLatt	48	4096	2	0.090826000
PLff	48	4096	2	0.075464000
PLatt	48	4096	3	0.091380000
PLff	48	4096	3	0.075203000
PLc0	48	4096	-	0.028957000
PLchk	48	4096	-	wall=0.7836s stepsum=0.7836s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	64	4096	0	0.258470000
PLff	64	4096	0	0.100961000
PLatt	64	4096	1	0.267505000
PLff	64	4096	1	0.101773000
PLatt	64	4096	2	0.121022000
PLff	64	4096	2	0.101265000
PLatt	64	4096	3	0.120403000
PLff	64	4096	3	0.101358000
PLc0	64	4096	-	0.028948000
PLchk	64	4096	-	wall=1.2021s stepsum=1.2021s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	96	4096	0	0.431956000
PLff	96	4096	0	0.154498000
PLatt	96	4096	1	0.441441000
PLff	96	4096	1	0.154550000
PLatt	96	4096	2	0.440732000
PLff	96	4096	2	0.156619000
PLatt	96	4096	3	0.447353000
PLff	96	4096	3	0.154646000
PLc0	96	4096	-	0.030586000
PLchk	96	4096	-	wall=2.4142s stepsum=2.4142s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	128	4096	0	0.452762000
PLff	128	4096	0	0.208885000
PLatt	128	4096	1	0.408664000
PLff	128	4096	1	0.206470000
PLatt	128	4096	2	0.212340000
PLff	128	4096	2	0.205638000
PLatt	128	4096	3	0.214025000
PLff	128	4096	3	0.205716000
PLc0	128	4096	-	0.031596000
PLchk	128	4096	-	wall=2.1641s stepsum=2.1641s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	4	8192	0	0.017942000
PLff	4	8192	0	0.011750000
PLatt	4	8192	1	0.014308000
PLff	4	8192	1	0.011829000
PLatt	4	8192	2	0.014317000
PLff	4	8192	2	0.011803000
PLatt	4	8192	3	0.014395000
PLff	4	8192	3	0.011787000
PLc0	4	8192	-	0.027912000
PLchk	4	8192	-	wall=0.1366s stepsum=0.1366s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	8	8192	0	0.050623000
PLff	8	8192	0	0.023447000
PLatt	8	8192	1	0.026792000
PLff	8	8192	1	0.023438000
PLatt	8	8192	2	0.025494000
PLff	8	8192	2	0.023699000
PLatt	8	8192	3	0.026560000
PLff	8	8192	3	0.023517000
PLc0	8	8192	-	0.027983000
PLchk	8	8192	-	wall=0.2523s stepsum=0.2523s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	16	8192	0	0.090278000
PLff	16	8192	0	0.024905000
PLatt	16	8192	1	0.045374000
PLff	16	8192	1	0.025102000
PLatt	16	8192	2	0.045477000
PLff	16	8192	2	0.025137000
PLatt	16	8192	3	0.044691000
PLff	16	8192	3	0.025218000
PLc0	16	8192	-	0.028176000
PLchk	16	8192	-	wall=0.3545s stepsum=0.3545s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	24	8192	0	0.140887000
PLff	24	8192	0	0.048507000
PLatt	24	8192	1	0.069292000
PLff	24	8192	1	0.048341000
PLatt	24	8192	2	0.068686000
PLff	24	8192	2	0.048396000
PLatt	24	8192	3	0.068478000
PLff	24	8192	3	0.048584000
PLc0	24	8192	-	0.028279000
PLchk	24	8192	-	wall=0.5691s stepsum=0.5691s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	32	8192	0	0.226432000
PLff	32	8192	0	0.051019000
PLatt	32	8192	1	0.108984000
PLff	32	8192	1	0.050624000
PLatt	32	8192	2	0.110304000
PLff	32	8192	2	0.051571000
PLatt	32	8192	3	0.109383000
PLff	32	8192	3	0.050800000
PLc0	32	8192	-	0.028333000
PLchk	32	8192	-	wall=0.7944s stepsum=0.7943s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	48	8192	0	0.354979000
PLff	48	8192	0	0.075701000
PLatt	48	8192	1	0.161317000
PLff	48	8192	1	0.076367000
PLatt	48	8192	2	0.160785000
PLff	48	8192	2	0.075943000
PLatt	48	8192	3	0.159907000
PLff	48	8192	3	0.077540000
PLc0	48	8192	-	0.028931000
PLchk	48	8192	-	wall=1.1748s stepsum=1.1747s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	64	8192	0	0.550207000
PLff	64	8192	0	0.102873000
PLatt	64	8192	1	0.545263000
PLff	64	8192	1	0.103806000
PLatt	64	8192	2	0.334942000
PLff	64	8192	2	0.103962000
PLatt	64	8192	3	0.235067000
PLff	64	8192	3	0.090754000
PLc0	64	8192	-	0.029297000
PLchk	64	8192	-	wall=2.1033s stepsum=2.1033s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	96	8192	0	0.792601000
PLff	96	8192	0	0.152062000
PLatt	96	8192	1	0.373829000
PLff	96	8192	1	0.154105000
PLatt	96	8192	2	0.362679000
PLff	96	8192	2	0.157269000
PLatt	96	8192	3	0.373584000
PLff	96	8192	3	0.134341000
PLc0	96	8192	-	0.030816000
PLchk	96	8192	-	wall=2.5528s stepsum=2.5528s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	128	8192	0	1.165125000
PLff	128	8192	0	0.206671000
PLatt	128	8192	1	1.177215000
PLff	128	8192	1	0.221067000
PLatt	128	8192	2	0.520974000
PLff	128	8192	2	0.183458000
PLatt	128	8192	3	0.522209000
PLff	128	8192	3	0.178405000
PLc0	128	8192	-	0.031674000
PLchk	128	8192	-	wall=4.2662s stepsum=4.2662s ratio=1.000
