# host=ubuntu-desktop threads=4 layers=4 dim=4096 hidden=14336 reps=5
# kind	B	prefix	layer	sec
🧠 CPU: neon dotprod fp16
PLatt	4	128	0	0.003131000
PLff	4	128	0	0.011646000
PLatt	4	128	1	0.003152000
PLff	4	128	1	0.011963000
PLatt	4	128	2	0.003139000
PLff	4	128	2	0.012115000
PLatt	4	128	3	0.003212000
PLff	4	128	3	0.011785000
PLc0	4	128	-	0.028495000
PLchk	4	128	-	wall=0.0887s stepsum=0.0886s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	8	128	0	0.005940000
PLff	8	128	0	0.023114000
PLatt	8	128	1	0.005901000
PLff	8	128	1	0.023524000
PLatt	8	128	2	0.005969000
PLff	8	128	2	0.023278000
PLatt	8	128	3	0.006042000
PLff	8	128	3	0.024153000
PLc0	8	128	-	0.028676000
PLchk	8	128	-	wall=0.1465s stepsum=0.1465s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	16	128	0	0.006160000
PLff	16	128	0	0.024694000
PLatt	16	128	1	0.006315000
PLff	16	128	1	0.024807000
PLatt	16	128	2	0.005897000
PLff	16	128	2	0.024022000
PLatt	16	128	3	0.005506000
PLff	16	128	3	0.024432000
PLc0	16	128	-	0.027681000
PLchk	16	128	-	wall=0.1503s stepsum=0.1502s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	24	128	0	0.011628000
PLff	24	128	0	0.050239000
PLatt	24	128	1	0.011282000
PLff	24	128	1	0.050026000
PLatt	24	128	2	0.010588000
PLff	24	128	2	0.048645000
PLatt	24	128	3	0.010629000
PLff	24	128	3	0.049487000
PLc0	24	128	-	0.028948000
PLchk	24	128	-	wall=0.2719s stepsum=0.2719s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	32	128	0	0.012844000
PLff	32	128	0	0.051810000
PLatt	32	128	1	0.012196000
PLff	32	128	1	0.050886000
PLatt	32	128	2	0.011892000
PLff	32	128	2	0.052177000
PLatt	32	128	3	0.011744000
PLff	32	128	3	0.049369000
PLc0	32	128	-	0.028377000
PLchk	32	128	-	wall=0.2814s stepsum=0.2814s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	48	128	0	0.019426000
PLff	48	128	0	0.083703000
PLatt	48	128	1	0.018164000
PLff	48	128	1	0.080739000
PLatt	48	128	2	0.018400000
PLff	48	128	2	0.082530000
PLatt	48	128	3	0.017904000
PLff	48	128	3	0.080443000
PLc0	48	128	-	0.028869000
PLchk	48	128	-	wall=0.4306s stepsum=0.4306s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	64	128	0	0.030128000
PLff	64	128	0	0.114866000
PLatt	64	128	1	0.028536000
PLff	64	128	1	0.113811000
PLatt	64	128	2	0.026832000
PLff	64	128	2	0.116608000
PLatt	64	128	3	0.026661000
PLff	64	128	3	0.112996000
PLc0	64	128	-	0.029277000
PLchk	64	128	-	wall=0.6006s stepsum=0.6006s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	96	128	0	0.043078000
PLff	96	128	0	0.183451000
PLatt	96	128	1	0.038716000
PLff	96	128	1	0.177139000
PLatt	96	128	2	0.039950000
PLff	96	128	2	0.174920000
PLatt	96	128	3	0.039246000
PLff	96	128	3	0.178437000
PLc0	96	128	-	0.030727000
PLchk	96	128	-	wall=0.9060s stepsum=0.9059s ratio=1.000
🧠 CPU: neon dotprod fp16
PLatt	128	128	0	0.057702000
PLff	128	128	0	0.241978000
PLatt	128	128	1	0.058238000
PLff	128	128	1	0.248444000
PLatt	128	128	2	0.059317000
PLff	128	128	2	0.237102000
PLatt	128	128	3	0.057767000
